"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","response_type","key_press","avg_frame_time","position_x","position_y","click_x","click_y","position","file_name"
"true","fullscreen","0","1937","0.0-0.0","","","","","","","","","",""
"","psychophysics","1","6248","0.0-1.0-0.0","4291.864999977406","mouse","-1","NaN","","","913","768","(388,331),(398,331),(406,331),(411,331),(415,331),(419,331),(422,331),(426,331),(428,331),(430,331),(433,331),(434,331),(435,331),(437,331),(439,331),(441,331),(442,331),(442,332),(443,332),(444,333),(445,333),(451,328),(459,320),(480,304),(484,297),(492,284),(494,281),(499,275),(505,270),(511,265),(516,261),(522,256),(526,252),(528,250),(531,247),(532,244),(533,242),(534,240),(534,238),(535,235),(536,234),(538,231),(540,228),(541,226),(542,224),(544,222),(544,220),(546,219),(547,216),(548,215),(548,214),(548,213),(549,212),(550,210),(550,208),(551,206),(554,203),(554,202),(556,199),(557,196),(558,194),(560,193),(562,190),(563,187),(566,185),(568,183),(570,178),(570,177),(571,175),(572,174),(573,173),(573,171),(574,171),(574,170),(574,169),(574,168),(574,167),(574,167),(575,169),(577,172),(580,175),(584,180),(586,182),(589,188),(593,191),(594,197),(597,199),(599,201),(600,204),(602,209),(603,212),(605,218),(608,224),(610,226),(612,232),(614,235),(616,240),(619,242),(623,245),(626,248),(630,251),(632,254),(637,261),(639,267),(642,272),(647,279),(649,281),(651,287),(651,290),(654,292),(656,298),(658,304),(662,308),(669,317),(673,324),(678,330),(680,333),(684,339),(686,341),(688,348),(690,355),(691,360),(693,367),(694,374),(696,379),(697,385),(698,387),(699,389),(700,394),(703,396),(706,404),(708,409),(709,414),(713,420),(716,425),(718,428),(721,431),(726,439),(727,443),(730,449),(733,456),(734,460),(736,468),(737,472),(739,478),(740,480),(741,482),(741,487),(742,489),(743,495),(750,508),(752,511),(754,517),(754,518),(763,533),(764,534),(764,535),(770,542),(771,546),(773,548),(775,551),(777,553),(777,556),(778,558),(778,559),(779,563),(780,565),(780,568),(780,570),(780,571),(780,572),(780,574),(778,577),(778,578),(777,580),(777,583),(776,586),(775,588),(775,590),(775,593),(775,594),(775,596),(775,598),(775,600),(775,601),(775,602),(775,603),(775,604),(775,605),(774,607),(774,609),(774,611),(774,613),(774,614),(774,616),(774,617),(774,619),(775,621),(776,623),(777,624),(778,626),(779,628),(780,629),(782,630),(782,631),(783,631),(790,630),(793,630),(795,630),(798,632),(800,634),(800,635),(802,636),(804,638),(806,640),(808,642),(812,643),(814,646),(817,649),(822,652),(826,656),(828,656),(829,658),(831,659),(832,661),(833,663),(836,665),(837,667),(837,671),(838,675),(839,677),(840,680),(843,683),(847,689),(849,690),(853,693),(856,694),(860,697),(863,698),(865,700),(869,702),(870,706),(872,710),(874,716),(876,718),(878,724),(880,726),(886,732),(888,734),(890,735),(892,737),(895,738),(896,740),(898,742),(901,743),(902,746),(902,748),(903,749),(904,751),(904,752),(905,754),(905,755),(906,756),(906,757),(908,759),(908,761),(908,762),(909,764),(909,765),(909,766),(909,768),(910,770),(910,771),(911,771),(911,772),(911,773),(911,774),(911,775),(911,776),(911,777),(911,778),(911,779),(911,780),(911,781),(912,781),(913,781)","tmt_A_black.jpg"
"","psychophysics","2","10958","0.0-1.0-0.1","4690.0299999979325","mouse","-1","NaN","","","963","763","(901,768),(887,747),(880,739),(870,720),(866,707),(860,702),(854,692),(851,687),(849,684),(848,682),(844,677),(843,676),(840,673),(836,668),(835,666),(832,661),(831,657),(828,653),(826,649),(825,647),(825,644),(823,640),(822,638),(821,634),(821,630),(818,623),(814,607),(811,602),(801,584),(795,576),(784,556),(779,548),(771,538),(768,534),(766,528),(765,524),(765,520),(764,518),(762,516),(761,514),(759,510),(757,509),(754,506),(751,503),(746,500),(743,497),(738,494),(735,491),(733,490),(731,488),(730,486),(728,484),(728,483),(727,482),(727,481),(727,480),(726,479),(725,479),(719,469),(712,450),(698,428),(688,395),(669,370),(658,342),(650,327),(643,310),(643,303),(643,291),(640,286),(638,280),(636,276),(636,270),(635,267),(635,263),(635,259),(634,252),(630,247),(628,242),(626,232),(626,229),(626,224),(625,220),(624,216),(623,214),(622,212),(622,209),(621,207),(620,204),(619,202),(619,201),(618,199),(617,197),(616,194),(615,192),(614,190),(612,187),(611,185),(609,182),(608,180),(608,177),(606,176),(605,174),(604,171),(602,169),(602,168),(600,167),(599,165),(598,164),(597,163),(596,162),(595,162),(595,161),(595,160),(595,159),(595,158),(594,158),(593,158),(593,157),(592,157),(594,162),(594,163),(595,164),(597,165),(600,166),(600,167),(603,169),(605,172),(609,177),(610,180),(611,182),(616,189),(617,191),(617,193),(619,199),(620,200),(620,201),(621,204),(623,207),(624,211),(626,214),(628,220),(631,227),(633,229),(636,237),(639,239),(642,243),(644,247),(646,249),(650,255),(652,261),(655,268),(663,284),(664,288),(665,294),(667,299),(668,302),(672,310),(675,316),(677,322),(681,327),(684,330),(686,335),(688,338),(692,343),(694,345),(696,351),(698,353),(702,360),(702,365),(704,372),(705,374),(706,377),(708,379),(709,385),(710,387),(711,389),(711,391),(712,394),(714,398),(716,402),(719,408),(721,411),(726,417),(728,420),(730,425),(731,428),(733,431),(737,437),(739,439),(741,443),(744,449),(746,455),(747,457),(749,462),(751,467),(752,470),(754,473),(755,474),(757,476),(757,480),(761,482),(765,488),(767,491),(770,494),(772,496),(774,500),(775,502),(779,504),(780,507),(782,509),(782,510),(785,512),(785,514),(786,515),(787,517),(787,518),(787,519),(788,521),(789,523),(790,524),(792,526),(792,529),(793,531),(795,533),(796,535),(798,538),(800,540),(801,541),(803,544),(804,545),(807,546),(807,548),(809,550),(811,552),(813,554),(815,556),(817,558),(817,561),(819,563),(819,566),(822,568),(823,570),(823,573),(824,576),(825,577),(827,580),(828,582),(829,583),(830,584),(831,586),(831,588),(833,589),(833,590),(835,591),(837,593),(838,595),(840,597),(841,599),(843,601),(844,604),(845,605),(846,607),(848,608),(849,611),(852,613),(852,615),(854,617),(855,619),(856,620),(858,622),(859,623),(860,625),(860,627),(862,628),(863,630),(866,634),(867,636),(872,643),(874,645),(876,649),(878,651),(879,652),(880,654),(881,657),(883,658),(883,659),(884,661),(886,663),(886,665),(888,667),(890,669),(891,672),(893,676),(893,680),(895,682),(897,687),(898,689),(903,697),(905,699),(907,702),(910,705),(910,706),(917,714),(918,716),(922,721),(924,724),(926,726),(930,731),(931,734),(933,737),(934,738),(935,740),(936,741),(937,742),(938,744),(940,746),(940,747),(942,748),(943,750),(945,752),(946,753),(947,755),(947,756),(948,757),(949,759),(949,760),(949,761),(950,761),(950,762),(951,762),(951,764),(952,764),(952,765),(952,766),(953,766),(953,767),(953,768),(954,768),(954,769),(955,770),(955,771),(956,771),(957,772),(958,772),(959,773),(959,774),(960,774),(961,774),(961,775),(961,776),(962,776),(963,776)","tmt_B_black.jpg"
